timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,Connect
1659518022204,744,GET_films,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-23,text,true,,2579,123,42,42,https://swapi.dev/api/films/1/,744,0
1659518022571,483,GET_people,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-16,text,true,,986,124,42,42,https://swapi.dev/api/people/1/,483,0
1659518022578,505,GET_people,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-24,text,true,,986,124,42,42,https://swapi.dev/api/people/1/,505,0
1659518022716,373,GET_starships,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,924,127,42,42,https://swapi.dev/api/starships/9/,373,0
1659518021542,1572,GET_people,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-25,text,true,,986,124,42,42,https://swapi.dev/api/people/1/,1572,0
1659518022735,379,GET_starships,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-19,text,true,,924,127,42,42,https://swapi.dev/api/starships/9/,379,0
1659518022485,638,GET_films,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-14,text,true,,2579,123,42,42,https://swapi.dev/api/films/1/,638,0
1659518021750,1399,GET_starships,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-35,text,true,,924,127,42,42,https://swapi.dev/api/starships/9/,1399,0
1659518022633,553,GET_people,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-20,text,true,,986,124,42,42,https://swapi.dev/api/people/1/,553,0
1659518021748,1464,GET_people,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-28,text,true,,986,124,42,42,https://swapi.dev/api/people/1/,1464,0
1659518021545,1685,GET_films,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-9,text,true,,2579,123,42,42,https://swapi.dev/api/films/1/,1685,0
1659518022859,387,GET_starships,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-37,text,true,,924,127,42,42,https://swapi.dev/api/starships/9/,387,0
1659518022712,543,GET_people,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-32,text,true,,986,124,42,42,https://swapi.dev/api/people/1/,543,0
1659518022577,726,GET_films,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-12,text,true,,2579,123,42,42,https://swapi.dev/api/films/1/,726,0
1659518022623,728,GET_planets,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-5,text,true,,1176,125,42,42,https://swapi.dev/api/planets/1/,728,120
1659518021629,1741,GET_films,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-10,text,true,,2579,123,42,42,https://swapi.dev/api/films/1/,1741,0
1659518022929,462,GET_starships,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-22,text,true,,924,127,42,42,https://swapi.dev/api/starships/9/,462,0
1659518022948,443,GET_starships,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-23,text,true,,924,127,42,42,https://swapi.dev/api/starships/9/,443,0
1659518021969,1434,GET_starships,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-31,text,true,,924,127,42,42,https://swapi.dev/api/starships/9/,1434,0
1659518022870,611,GET_people,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-13,text,true,,986,124,42,42,https://swapi.dev/api/people/1/,611,0
1659518022863,618,GET_planets,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-40,text,true,,1176,125,42,42,https://swapi.dev/api/planets/1/,618,116
1659518022859,635,GET_films,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-2,text,true,,2579,123,42,42,https://swapi.dev/api/films/1/,635,0
1659518021844,1651,GET_planets,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-42,text,true,,1176,125,42,42,https://swapi.dev/api/planets/1/,1651,117
1659518023123,380,GET_starships,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-14,text,true,,924,127,42,42,https://swapi.dev/api/starships/9/,380,0
1659518022848,660,GET_planets,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-7,text,true,,1176,125,42,42,https://swapi.dev/api/planets/1/,660,117
1659518021870,1758,GET_planets,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-27,text,true,,1176,125,42,42,https://swapi.dev/api/planets/1/,1758,119
1659518023230,402,GET_starships,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-9,text,true,,924,127,42,42,https://swapi.dev/api/starships/9/,402,0
1659518022870,812,GET_films,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-38,text,true,,2579,123,42,42,https://swapi.dev/api/films/1/,812,0
1659518023089,607,GET_planets,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,1176,125,42,42,https://swapi.dev/api/planets/1/,607,126
1659518022892,810,GET_films,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-34,text,true,,2579,123,42,42,https://swapi.dev/api/films/1/,810,0
1659518023303,436,GET_starships,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-12,text,true,,924,127,42,42,https://swapi.dev/api/starships/9/,436,0
1659518022038,1706,GET_planets,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-4,text,true,,1176,125,42,42,https://swapi.dev/api/planets/1/,1706,119
1659518023054,713,GET_films,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-16,text,true,,2579,123,42,42,https://swapi.dev/api/films/1/,713,0
1659518023370,422,GET_starships,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-10,text,true,,924,127,42,42,https://swapi.dev/api/starships/9/,422,0
1659518022919,891,GET_films,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-36,text,true,,2579,123,42,42,https://swapi.dev/api/films/1/,891,0
1659518023351,468,GET_people,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-5,text,true,,986,124,42,42,https://swapi.dev/api/people/1/,468,0
1659518023083,738,GET_films,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-24,text,true,,2579,123,42,42,https://swapi.dev/api/films/1/,738,0
1659518023114,746,GET_planets,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-19,text,true,,1176,125,42,42,https://swapi.dev/api/planets/1/,746,124
1659518023494,382,GET_starships,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-2,text,true,,924,127,42,42,https://swapi.dev/api/starships/9/,382,0
1659518023161,734,GET_planets,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-35,text,true,,1176,125,42,42,https://swapi.dev/api/planets/1/,734,117
1659518023246,664,GET_planets,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-37,text,true,,1176,125,42,42,https://swapi.dev/api/planets/1/,664,126
1659518023213,697,GET_films,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-28,text,true,,2579,123,42,42,https://swapi.dev/api/films/1/,697,0
1659518023114,799,GET_films,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-25,text,true,,2579,123,42,42,https://swapi.dev/api/films/1/,799,0
1659518023481,439,GET_people,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-40,text,true,,986,124,42,42,https://swapi.dev/api/people/1/,439,0
1659518023391,561,GET_planets,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-23,text,true,,1176,125,42,42,https://swapi.dev/api/planets/1/,561,117
1659518023186,777,GET_films,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-20,text,true,,2579,123,42,42,https://swapi.dev/api/films/1/,777,0
1659518023495,500,GET_people,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-42,text,true,,986,124,42,42,https://swapi.dev/api/people/1/,500,0
1659518023682,321,GET_starships,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-38,text,true,,924,127,42,42,https://swapi.dev/api/starships/9/,321,0
1659518023255,751,GET_films,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-32,text,true,,2579,123,42,42,https://swapi.dev/api/films/1/,751,0
1659518023702,337,GET_starships,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-34,text,true,,924,127,42,42,https://swapi.dev/api/starships/9/,337,0
1659518023404,671,GET_planets,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-31,text,true,,1176,125,42,42,https://swapi.dev/api/planets/1/,671,134
1659518023503,609,GET_planets,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-14,text,true,,1176,125,42,42,https://swapi.dev/api/planets/1/,609,118
1659518023632,537,GET_planets,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-9,text,true,,1176,125,42,42,https://swapi.dev/api/planets/1/,537,116
1659518023810,359,GET_starships,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-36,text,true,,924,127,42,42,https://swapi.dev/api/starships/9/,359,0
1659518023391,775,GET_planets,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-22,text,true,,1176,125,42,42,https://swapi.dev/api/planets/1/,775,117
1659518023628,553,GET_people,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-27,text,true,,986,124,42,42,https://swapi.dev/api/people/1/,553,0
1659518023767,427,GET_starships,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-16,text,true,,924,127,42,42,https://swapi.dev/api/starships/9/,427,0
1659518023821,382,GET_starships,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-24,text,true,,924,127,42,42,https://swapi.dev/api/starships/9/,382,0
1659518023509,739,GET_people,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-7,text,true,,986,124,42,42,https://swapi.dev/api/people/1/,739,0
1659518022649,1620,GET_planets,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-17,text,true,,1176,125,42,42,https://swapi.dev/api/planets/1/,1620,133
1659518023696,606,GET_people,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,986,124,42,42,https://swapi.dev/api/people/1/,606,0
1659518023744,576,GET_people,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-4,text,true,,986,124,42,42,https://swapi.dev/api/people/1/,576,0
1659518023481,841,GET_films,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-13,text,true,,2579,123,42,42,https://swapi.dev/api/films/1/,841,0
1659518020697,3643,GET_planets,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-29,text,true,,1176,125,42,42,https://swapi.dev/api/planets/1/,3643,118
1659518020680,3671,GET_planets,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-41,text,true,,1176,125,42,42,https://swapi.dev/api/planets/1/,3671,135
1659518023860,526,GET_people,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-19,text,true,,986,124,42,42,https://swapi.dev/api/people/1/,526,0
1659518023963,444,GET_starships,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-20,text,true,,924,127,42,42,https://swapi.dev/api/starships/9/,444,0
1659518020940,3467,GET_starships,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-21,text,true,,924,127,42,42,https://swapi.dev/api/starships/9/,3467,0
1659518020697,3717,GET_planets,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-8,text,true,,1176,125,42,42,https://swapi.dev/api/planets/1/,3717,118
1659518020824,3627,GET_people,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-18,text,true,,986,124,42,42,https://swapi.dev/api/people/1/,3627,0
1659518023819,645,GET_films,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-5,text,true,,2579,123,42,42,https://swapi.dev/api/films/1/,645,0
1659518024006,458,GET_starships,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-32,text,true,,924,127,42,42,https://swapi.dev/api/starships/9/,458,0
1659518023895,589,GET_people,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-35,text,true,,986,124,42,42,https://swapi.dev/api/people/1/,589,0
1659518023952,554,GET_people,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-23,text,true,,986,124,42,42,https://swapi.dev/api/people/1/,554,0
1659518024075,494,GET_people,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-31,text,true,,986,124,42,42,https://swapi.dev/api/people/1/,494,0
1659518023876,702,GET_planets,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-2,text,true,,1176,125,42,42,https://swapi.dev/api/planets/1/,702,119
1659518024180,496,GET_people,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-9,text,true,,986,124,42,42,https://swapi.dev/api/people/1/,496,0
1659518024322,382,GET_starships,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-13,text,true,,924,127,42,42,https://swapi.dev/api/starships/9/,382,0
1659518024039,709,GET_planets,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-34,text,true,,1176,125,42,42,https://swapi.dev/api/planets/1/,709,119
1659518024180,588,GET_planets,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-36,text,true,,1176,125,42,42,https://swapi.dev/api/planets/1/,588,132
1659518024194,584,GET_planets,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-16,text,true,,1176,125,42,42,https://swapi.dev/api/planets/1/,584,120
